Time,Average(A)
(us),(V)
2.40370042,0.6028478
2.40770042,0.5944603
2.41170042,0.586116
2.41570042,0.577818
2.41970042,0.5695647
2.42370042,0.5613553
2.42770042,0.5531962
2.43170042,0.5450845
2.43570042,0.5370169
2.43970042,0.5290056
2.44370041,0.5210444
2.44770041,0.5131406
2.45170041,0.5052921
2.45570041,0.497499
2.45970041,0.489765
2.46370041,0.4820918
2.46770041,0.4744829
2.47170041,0.4669295
2.47570041,0.459444
2.47970041,0.4520214
2.48370041,0.444659
2.48770041,0.4373617
2.49170041,0.4301271
2.49570041,0.4229572
2.49970041,0.4158549
2.50370041,0.4088197
2.50770041,0.4018523
2.51170041,0.3949533
2.51570041,0.3881217
2.51970041,0.3813617
2.52370041,0.3746726
2.52770041,0.3680531
2.53170041,0.3615046
2.53570041,0.3550302
2.53970041,0.3486263
2.54370041,0.3422967
2.54770041,0.3360385
2.55170041,0.3298579
2.55570041,0.3237449
2.55970041,0.3177069
2.56370041,0.3117382
2.56770041,0.3058379
2.57170041,0.3000095
2.57570041,0.2942502
2.57970041,0.2885557
2.58370041,0.2829333
2.58770041,0.277381
2.59170041,0.2718988
2.59570041,0.2664852
2.59970041,0.2611487
2.60370041,0.2558876
2.60770041,0.2506963
2.61170041,0.2455869
2.61570041,0.2405472
2.61970041,0.2355904
2.62370041,0.2307085
2.62770041,0.2259048
2.63170041,0.221178
2.63570041,0.2165291
2.63970041,0.2119533
2.64370041,0.2074576
2.64770041,0.203034
2.65170041,0.1986906
2.65570041,0.1944232
2.65970041,0.190231
2.66370041,0.1861211
2.66770041,0.1820842
2.67170041,0.1781283
2.67570041,0.1742494
2.67970041,0.1704458
2.68370041,0.1667217
2.68770041,0.1630704
2.69170041,0.1595001
2.69570041,0.1560045
2.69970041,0.1525833
2.70370041,0.1492393
2.70770041,0.145974
2.71170041,0.1427838
2.71570041,0.1396687
2.71970041,0.1366321
2.72370041,0.1336662
2.72770041,0.1307786
2.73170041,0.127968
2.73570041,0.1252309
2.73970041,0.1225669
2.74370041,0.119983
2.74770041,0.1174681
2.75170041,0.1150312
2.75570041,0.1126682
2.75970041,0.1103795
2.76370041,0.1081597
2.76770041,0.1060174
2.77170041,0.1039455
2.77570041,0.1019485
2.77970041,0.1000249
2.78370041,0.09817018
2.78770041,0.09639249
2.79170041,0.09468366
2.79570041,0.09304518
2.7997004,0.09148142
2.8037004,0.08998796
2.8077004,0.08856341
2.8117004,0.08721201
2.8157004,0.08593222
2.8197004,0.0847198
2.8237004,0.08357946
2.8277004,0.08250516
2.8317004,0.08150115
2.8357004,0.08056559
2.8397004,0.0796983
2.8437004,0.07889822
2.8477004,0.07816952
2.8517004,0.0775074
2.8557004,0.07691146
2.8597004,0.07638407
2.8637004,0.07592104
2.8677004,0.07552745
2.8717004,0.07519581
2.8757004,0.07492945
2.8797004,0.0747306
2.8837004,0.07458825
2.8877004,0.07450986
2.8917004,0.07449102
2.8957004,0.07452819
2.8997004,0.07462759
2.9037004,0.07478207
2.9077004,0.07499534
2.9117004,0.07526305
2.9157004,0.07558821
2.9197004,0.07596927
2.9237004,0.07640819
2.9277004,0.07689609
2.9317004,0.07744157
2.9357004,0.07804792
2.9397004,0.07871214
2.9437004,0.0794413
2.9477004,0.08022364
2.9517004,0.08106812
2.9557004,0.08196768
2.9597004,0.08292546
2.9637004,0.0839383
2.9677004,0.08500656
2.9717004,0.08612598
2.9757004,0.08730403
2.9797004,0.08853241
2.9837004,0.08981512
2.9877004,0.09114861
2.9917004,0.09253304
2.9957004,0.09397084
2.9997004,0.09545882
3.0037004,0.0969931
3.0077004,0.09858341
3.0117004,0.1002242
3.0157004,0.1019177
3.0197004,0.1036647
3.0237004,0.1054645
3.0277004,0.1073166
3.0317004,0.1092209
3.0357004,0.1111775
3.0397004,0.1131868
3.0437004,0.1152501
3.0477004,0.1173646
3.0517004,0.1195276
3.0557004,0.1217427
3.0597004,0.124011
3.0637004,0.126328
3.0677004,0.1286946
3.0717004,0.1311157
3.0757004,0.1335853
3.0797004,0.1360987
3.0837004,0.1386623
3.0877004,0.141271
3.0917004,0.1439244
3.0957004,0.1466197
3.0997004,0.1493532
3.1037004,0.1521325
3.1077004,0.154953
3.1117004,0.15781
3.1157004,0.1607082
3.1197004,0.1636439
3.1237004,0.1666191
3.1277004,0.1696299
3.1317004,0.1726786
3.1357004,0.1757623
3.1397004,0.1788843
3.1437004,0.1820378
3.1477004,0.1852269
3.15170039,0.1884487
3.15570039,0.1917038
3.15970039,0.1949918
3.16370039,0.1983099
3.16770039,0.2016589
3.17170039,0.2050405
3.17570039,0.2084521
3.17970039,0.2118908
3.18370039,0.2153602
3.18770039,0.2188606
3.19170039,0.2223856
3.19570039,0.2259401
3.19970039,0.2295159
3.20370039,0.233121
3.20770039,0.2367545
3.21170039,0.2404107
3.21570039,0.2440869
3.21970039,0.2477878
3.22370039,0.2515076
3.22770039,0.2552482
3.23170039,0.2590083
3.23570039,0.2627848
3.23970039,0.266575
3.24370039,0.2703799
3.24770039,0.2741995
3.25170039,0.2780297
3.25570039,0.2818695
3.25970039,0.2857211
3.26370039,0.289583
3.26770039,0.2934547
3.27170039,0.2973326
3.27570039,0.3012167
3.27970039,0.3051091
3.28370039,0.3090084
3.28770039,0.3129149
3.29170039,0.3168275
3.29570039,0.3207487
3.29970039,0.3246698
3.30370039,0.3285976
3.30770039,0.3325227
3.31170039,0.3364454
3.31570039,0.3403696
3.31970039,0.3442912
3.32370039,0.3482077
3.32770039,0.3521219
3.33170039,0.3560313
3.33570039,0.3599385
3.33970039,0.3638446
3.34370039,0.3677434
3.34770039,0.3716374
3.35170039,0.3755308
3.35570039,0.3794144
3.35970039,0.3832825
3.36370039,0.3871438
3.36770039,0.390993
3.37170039,0.39483
3.37570039,0.3986531
3.37970039,0.4024636
3.38370039,0.4062596
3.38770039,0.4100397
3.39170039,0.4138051
3.39570039,0.4175502
3.39970039,0.4212798
3.40370039,0.424988
3.40770039,0.4286753
3.41170039,0.432344
3.41570039,0.4359858
3.41970039,0.4396049
3.42370039,0.4431994
3.42770039,0.4467679
3.43170039,0.4503064
3.43570039,0.4538223
3.43970039,0.457299
3.44370039,0.4607458
3.44770039,0.4641528
3.45170039,0.4675265
3.45570039,0.4708589
3.45970039,0.4741489
3.46370039,0.4773933
3.46770039,0.4805989
3.47170039,0.4837591
3.47570039,0.4868715
3.47970039,0.4899388
3.48370039,0.4929517
3.48770039,0.4959207
3.49170039,0.4988358
3.49570039,0.5016962
3.49970039,0.504504
3.50370039,0.5072533
3.50770038,0.5099447
3.51170038,0.5125783
3.51570038,0.5151498
3.51970038,0.5176629
3.52370038,0.5201104
3.52770038,0.5224914
3.53170038,0.5248105
3.53570038,0.5270613
3.53970038,0.5292431
3.54370038,0.5313563
3.54770038,0.533398
3.55170038,0.5353662
3.55570038,0.5372638
3.55970038,0.5390834
3.56370038,0.5408248
3.56770038,0.5424935
3.57170038,0.5440866
3.57570038,0.5456035
3.57970038,0.5470423
3.58370038,0.5484049
3.58770038,0.5496908
3.59170038,0.5508949
3.59570038,0.5520199
3.59970038,0.5530677
3.60370038,0.554031
3.60770038,0.5549139
3.61170038,0.5557118
3.61570038,0.5564236
3.61970038,0.557055
3.62370038,0.5575955
3.62770038,0.5580519
3.63170038,0.5584202
3.63570038,0.5586985
3.63970038,0.5588874
3.64370038,0.5589843
3.64770038,0.5589924
3.65170038,0.5589064
3.65570038,0.5587285
3.65970038,0.5584579
3.66370038,0.5580869
3.66770038,0.5576188
3.67170038,0.5570488
3.67570038,0.5563744
3.67970038,0.5555997
3.68370038,0.5547207
3.68770038,0.5537286
3.69170038,0.552629
3.69570038,0.5514207
3.69970038,0.5501068
3.70370038,0.5486787
3.70770038,0.547141
3.71170038,0.5454929
3.71570038,0.5437321
3.71970038,0.5418588
3.72370038,0.5398682
3.72770038,0.5377648
3.73170038,0.535551
3.73570038,0.5332214
3.73970038,0.5307754
3.74370038,0.5282177
3.74770038,0.5255421
3.75170038,0.5227469
3.75570038,0.5198396
3.75970038,0.5168089
3.76370038,0.5136636
3.76770038,0.5103993
3.77170038,0.5070142
3.77570038,0.5035142
3.77970038,0.4998938
3.78370038,0.4961565
3.78770038,0.4923028
3.79170038,0.4883371
3.79570038,0.4842504
3.79970038,0.4800526
3.80370038,0.4757369
3.80770038,0.4713081
3.81170038,0.4667616
3.81570038,0.4620979
3.81970038,0.4573181
3.82370038,0.4524195
3.82770038,0.4474066
3.83170038,0.4422761
3.83570038,0.4370331
3.83970038,0.4316742
3.84370038,0.4261979
3.84770038,0.4206086
3.85170038,0.4149036
3.85570038,0.4090829
3.85970037,0.403153
3.86370037,0.3971077
3.86770037,0.3909481
3.87170037,0.3846773
3.87570037,0.3782957
3.87970037,0.3718003
3.88370037,0.3651931
3.88770037,0.3584705
3.89170037,0.3516345
3.89570037,0.3446857
3.89970037,0.3376237
3.90370037,0.3304417
3.90770037,0.3231468
3.91170037,0.3157356
3.91570037,0.3082143
3.91970037,0.3005858
3.92370037,0.2928453
3.92770037,0.2849926
3.93170037,0.277036
3.93570037,0.2689686
3.93970037,0.260797
3.94370037,0.2525151
3.94770037,0.2441321
3.95170037,0.2356446
3.95570037,0.2270503
3.95970037,0.2183544
3.96370037,0.20955
3.96770037,0.2006435
3.97170037,0.1916362
3.97570037,0.1825228
3.97970037,0.1733082
3.98370037,0.163991
3.98770037,0.1545741
3.99170037,0.1450543
3.99570037,0.1354434
3.99970037,0.1257327
4.00370037,0.1159322
4.00770037,0.1060344
4.01170037,0.09605046
4.01570037,0.08597535
4.01970037,0.07580931
4.02370037,0.06556729
4.02770037,0.0552384
4.03170037,0.04483382
4.03570037,0.03435119
4.03970037,0.02378585
4.04370037,0.01314418
4.04770037,0.00242503
4.05170037,-0.00836494
4.05570037,-0.01922953
4.05970037,-0.03016088
4.06370037,-0.04116516
4.06770037,-0.05223633
4.07170037,-0.06337009
4.07570037,-0.07456902
4.07970037,-0.08583044
4.08370037,-0.0971534
4.08770037,-0.1085276
4.09170037,-0.1199663
4.09570037,-0.1314557
4.09970037,-0.1430005
4.10370037,-0.1545944
4.10770037,-0.1662425
4.11170037,-0.1779408
4.11570037,-0.1896951
4.11970037,-0.2014921
4.12370037,-0.2133419
4.12770037,-0.2252385
4.13170037,-0.2371851
4.13570037,-0.2491735
4.13970037,-0.2612079
4.14370037,-0.2732836
4.14770037,-0.2853969
4.15170037,-0.2975526
4.15570037,-0.3097417
